[GIN] 2025/12/16 - 05:38:33 | 200 |      24.849µs |             ::1 | GET      "/static/public/rizki.png"
[GIN] 2025/12/16 - 05:38:33 | 200 |      15.952µs |             ::1 | GET      "/static/public/althaf.png"
[GIN] 2025/12/16 - 05:38:33 | 304 |      17.243µs |             ::1 | GET      "/static/public/dzakiyya.png"
[GIN] 2025/12/16 - 05:38:33 | 200 |      25.586µs |             ::1 | GET      "/static/public/desvita.png"
[GIN] 2025/12/16 - 05:38:33 | 304 |      16.899µs |             ::1 | GET      "/static/public/qiara.png"
[GIN] 2025/12/16 - 05:38:33 | 304 |      15.979µs |             ::1 | GET      "/static/public/purnomo.png"
[GIN] 2025/12/16 - 05:38:33 | 304 |      30.286µs |             ::1 | GET      "/static/public/thoriq.png"
[GIN] 2025/12/16 - 05:38:33 | 304 |       15.09µs |             ::1 | GET      "/static/public/chelsea.png"
[GIN] 2025/12/16 - 05:38:33 | 304 |      12.656µs |             ::1 | GET      "/static/public/nabil.png"
[GIN] 2025/12/16 - 05:38:33 | 304 |       7.487µs |             ::1 | GET      "/static/public/wildan.png"
[GIN] 2025/12/16 - 05:38:33 | 304 |       11.04µs |             ::1 | GET      "/static/public/gian.png"
[GIN] 2025/12/16 - 05:38:33 | 200 |     247.677µs |             ::1 | GET      "/static/public/willy.png"
[GIN] 2025/12/16 - 05:38:33 | 304 |      30.129µs |             ::1 | GET      "/static/public/pramadani.png"
[GIN] 2025/12/16 - 05:38:33 | 304 |      99.479µs |             ::1 | GET      "/static/public/aira.png"
[GIN] 2025/12/16 - 05:38:33 | 304 |      34.482µs |             ::1 | GET      "/static/public/azka.png"
[GIN] 2025/12/16 - 05:38:33 | 304 |      17.529µs |             ::1 | GET      "/static/public/ihsan.png"
[GIN] 2025/12/16 - 05:38:33 | 304 |      17.718µs |             ::1 | GET      "/static/public/dhimas.png"
[GIN] 2025/12/16 - 05:38:33 | 304 |       20.67µs |             ::1 | GET      "/static/public/raissya.png"
[GIN] 2025/12/16 - 05:38:43 | 304 |      62.207µs |             ::1 | GET      "/static/public/reyhansyah.png"
